径山藏经编码,如是经编码,CBETA经编码,标点类型,标点来源
JS_570,RS_0052,T0050,新式標點,法雨道場提供新式標點
JS_571,RS_0053,T0051,新式標點,法雨道場提供新式標點
JS_572,RS_0067,T0065,新式標點,法雨道場提供新式標點
JS_573,RS_0068,T0066,新式標點,法雨道場提供新式標點
JS_574,RS_0069,T0067,新式標點,法雨道場提供新式標點
JS_575,RS_0091,T0086,新式標點,法雨道場提供新式標點
JS_576,RS_0093,T0088,新式標點,法雨道場提供新式標點
JS_577,RS_0092,T0087,新式標點,法雨道場提供新式標點
JS_578,RS_0055,T0053,新式標點,法雨道場提供新式標點
JS_579,RS_0057,T0055,新式標點,法雨道場提供新式標點
JS_580,RS_0056,T0054,新式標點,法雨道場提供新式標點
JS_581,RS_0095,T0090,新式標點,法雨道場提供新式標點
JS_582,RS_0096,T0091,新式標點,法雨道場提供新式標點
JS_583,RS_0097,T0092,新式標點,法雨道場提供新式標點
JS_584,RS_0098,T0093,新式標點,法雨道場提供新式標點
JS_585,RS_0099,T0094,新式標點,法雨道場提供新式標點
JS_586,RS_0101,T0098,新式標點,法雨道場提供新式標點
JS_587,RS_0100,T0097,新式標點,法雨道場提供新式標點
JS_588,RS_0135,T0116,新式標點,法雨道場提供新式標點
JS_589,RS_0148,T0127,新式標點,法雨道場提供新式標點
JS_590,RS_0061,T0059,新式標點,法雨道場提供新式標點
JS_591,RS_0062,T0060,新式標點,法雨道場提供新式標點
JS_592,RS_0022,T0020,新式標點,法雨道場提供新式標點
JS_593,RS_0024,T0022,新式標點,法雨道場提供新式標點
JS_594,RS_0070,T0068,新式標點,法雨道場提供新式標點
JS_595,RS_0019,T0017,新式標點,法雨道場提供新式標點
JS_596,RS_0072,T0070,新式標點,法雨道場提供新式標點
JS_597,RS_0073,T0071,新式標點,法雨道場提供新式標點
JS_598,RS_0034,T0032,新式標點,法雨道場提供新式標點
JS_599,RS_0035,T0033,新式標點,法雨道場提供新式標點
JS_600,RS_0065,T0064,新式標點,法雨道場提供新式標點
JS_601,RS_0038,T0036,新式標點,法雨道場提供新式標點
JS_602,RS_0039,T0037,新式標點,法雨道場提供新式標點
JS_603,RS_0041,T0039,新式標點,法雨道場提供新式標點
JS_604,RS_0042,T0040,新式標點,法雨道場提供新式標點
JS_605,RS_0074,T0072,新式標點,法雨道場提供新式標點
JS_606,RS_0075,T0073,新式標點,法雨道場提供新式標點
JS_607,RS_0077,T0075,新式標點,法雨道場提供新式標點
JS_608,RS_0078,T0076,新式標點,法雨道場提供新式標點
JS_609,RS_0080,T0077,新式標點,法雨道場提供新式標點
JS_610,RS_0082,T0079,新式標點,法雨道場提供新式標點
JS_611,RS_0081,T0078,新式標點,法雨道場提供新式標點
JS_612,RS_0086,T0082,新式標點,法雨道場提供新式標點
JS_613,RS_0087,T0083,新式標點,法雨道場提供新式標點
JS_614,RS_0143,T0122,新式標點,法雨道場提供新式標點
JS_615,RS_0151,T0128b,新式標點,法雨道場提供新式標點
JS_616,RS_0152,T0129,新式標點,法雨道場提供新式標點
JS_617,RS_0154,T0131,新式標點,法雨道場提供新式標點
JS_618,RS_0155,T0132b,新式標點,法雨道場提供新式標點
JS_619,RS_0157,T0133,新式標點,法雨道場提供新式標點
JS_620,RS_0159,T0134,新式標點,法雨道場提供新式標點
JS_621,RS_0137,T0118,新式標點,法雨道場提供新式標點
JS_622,RS_0138,T0119,新式標點,法雨道場提供新式標點
JS_623,RS_0161,T0135,新式標點,法雨道場提供新式標點
JS_624,RS_0162,T0136,新式標點,法雨道場提供新式標點
JS_625,RS_0163,T0137,新式標點,法雨道場提供新式標點
JS_626,RS_0002,T0004,新式標點,法雨道場提供新式標點
JS_627,RS_0164,T0123,新式標點,法雨道場提供新式標點
JS_628,RS_0118,T0124,新式標點,法雨道場提供新式標點
JS_629,RS_0166,T0138,新式標點,法雨道場提供新式標點
JS_630,RS_0167,T0139,新式標點,法雨道場提供新式標點
JS_631,RS_0174,T0146,新式標點,法雨道場提供新式標點
JS_632,RS_0176,T0148,新式標點,法雨道場提供新式標點
JS_633,RS_0158,T0149,新式標點,法雨道場提供新式標點
JS_634,RS_0105,T0102,新式標點,法雨道場提供新式標點
JS_635,RS_0467,T0492b,新式標點,Jasmine提供新式標點
JS_636,RS_0468,T0739,新式標點,三寶弟子提供新式標點
JS_637,RS_0469,T0495,新式標點,Jasmine提供新式標點
JS_638,RS_0506,T0555b,新式標點,Jasmine提供新式標點
JS_639,RS_0507,T0750,新式標點,三寶弟子提供新式標點
JS_640,RS_0170,T0143,新式標點,法雨道場提供新式標點
JS_641,RS_0169,T0142b,新式標點,法雨道場提供新式標點
JS_642,RS_0171,T0141,新式標點,法雨道場提供新式標點
JS_643,RS_0502,T0551,新式標點,Jasmine提供新式標點
JS_644,RS_0503,T0552,新式標點,Jasmine提供新式標點
JS_645,RS_1341,T1300,新式標點,李明芳大德提供新式標點
JS_646,RS_1342,T1301,新式標點,李明芳大德提供新式標點
JS_647,RS_0520,T0620,新式標點,毛佩君、廖予安、廖予慈大德提供新式標點
JS_648,RS_0106,T0150A,新式標點,法雨道場提供新式標點
JS_649,RS_0168,T0140,新式標點,法雨道場提供新式標點
JS_650,RS_0172,T0144,新式標點,法雨道場提供新式標點
JS_651,RS_0173,T0145,新式標點,法雨道場提供新式標點
JS_652,RS_0108,T0103,新式標點,法雨道場提供新式標點
JS_653,RS_0111,T0105,新式標點,法雨道場提供新式標點
JS_654,RS_0112,T0106,新式標點,法雨道場提供新式標點
JS_655,RS_0114,T0107,新式標點,法雨道場提供新式標點
JS_656,RS_0119,T0108,新式標點,法雨道場提供新式標點
JS_657,RS_0121,T0109,新式標點,法雨道場提供新式標點
JS_658,RS_0122,T0110,新式標點,法雨道場提供新式標點
JS_659,RS_0130,T0112,新式標點,法雨道場提供新式標點
JS_660,RS_0131,T0113,新式標點,法雨道場提供新式標點
JS_661,RS_0132,T0114,新式標點,法雨道場提供新式標點
JS_662,RS_0133,T0115,新式標點,法雨道場提供新式標點
JS_663,RS_0124,T0111,新式標點,法雨道場提供新式標點
JS_664,RS_0181,T0184,新式標點,張曌昱大德提供新式標點
JS_665,RS_0182,T0185,新式標點,范振業大德提供新式標點
JS_666,RS_0504,T0553,新式標點,Jasmine提供新式標點
JS_667,RS_0505,T0554,新式標點,Jasmine提供新式標點
JS_668,RS_0180,T0189,新式標點,范振業大德提供新式標點
JS_669,RS_0179,T0154,新式標點,張曌昱大德提供新式標點
JS_670,RS_0079,T0511,新式標點,釋振溥法師提供新式標點
JS_671,RS_0156,T0513,新式標點,Jasmine提供新式標點
JS_672,RS_0037,T0035,新式標點,法雨道場提供新式標點
JS_673,RS_0036,T0034,新式標點,法雨道場提供新式標點
JS_674,RS_0192,T0198,新式標點,毛佩君、廖予安大德提供新式標點
JS_675,RS_0553,T0734,新式標點,三寶弟子提供新式標點
JS_676,RS_0552,T0745,新式標點,三寶弟子提供新式標點
JS_677,RS_0554,T0746,新式標點,Jasmine提供新式標點
JS_678,RS_2196,T1794,新式標點,Z先生提供新式標點
JS_679,RS_0542,T0721,新式標點,JaeroChen提供新式標點
JS_680,RS_0184,T0190,新式標點,法雨道場提供新式標點
JS_681,RS_0518,T0602,新式標點,侯淑娟提供新式標點
JS_682,RS_0555,T0732,新式標點,三寶弟子提供新式標點
JS_683,RS_0523,T0605,新式標點,吉格艾諾提供新式標點
JS_684,RS_0550,T0730,新式標點,Jasmine提供新式標點
JS_685,RS_0549,T0729,新式標點,三寶弟子提供新式標點
JS_686,RS_0581,T0791,新式標點,三寶弟子提供新式標點
JS_687,RS_0178,T0151,新式標點,法雨道場提供新式標點
JS_688,RS_0551,T0731,新式標點,Jasmine提供新式標點
JS_689,RS_0582,T0792,新式標點,Jasmine提供新式標點
JS_690,RS_0586,T0798,新式標點,三寶弟子提供新式標點
JS_691,RS_0580,T0785,新式標點,黃金愛大德提供新式標點
JS_692,RS_0511b,T0797b,新式標點,Jasmine提供新式標點
JS_693,RS_0492,T0530,新式標點,釋振溥法師提供新式標點
JS_694,RS_0490,T0525,新式標點,Jasmine提供新式標點
JS_695,RS_0480,T0506,新式標點,Jasmine提供新式標點
JS_696,RS_0470,T0493,新式標點,Jasmine提供新式標點
JS_697,RS_0560,T0738,新式標點,Jasmine提供新式標點
JS_698,RS_0481,T0507,新式標點,釋振溥法師提供新式標點
JS_699,RS_0557,T0735,新式標點,三寶弟子提供新式標點
JS_700,RS_0208,T0214,新式標點,范振業大德提供新式標點
JS_701,RS_0094,T0089,新式標點,法雨道場提供新式標點
JS_702,RS_0537,T0687,新式標點,陳伯勳大德提供新式標點
JS_703,RS_0512,T0583,新式標點,釋振溥法師提供新式標點
JS_704,RS_0491,T0529,新式標點,Jasmine提供新式標點
JS_705,RS_0102bz,T0499,新式標點,Jasmine提供新式標點
JS_706,RS_0544,T0724,新式標點,三寶弟子提供新式標點
JS_707,RS_0517,T0597,新式標點,釋振溥法師提供新式標點
JS_708,RS_0493,T0531,新式標點,釋振溥法師提供新式標點
JS_709,RS_0508,T0556,新式標點,釋振溥法師提供新式標點
JS_710,RS_0513,T0581,新式標點,釋振溥法師提供新式標點
JS_711,RS_0494,T0537,新式標點,Jasmine提供新式標點
JS_712,RS_0559,T0737,新式標點,Jasmine提供新式標點
JS_713,RS_0482,T0508,新式標點,Jasmine提供新式標點
JS_714,RS_0577,T0765,新式標點,JaeroChen提供新式標點
JS_715,RS_0564,T0743,新式標點,JaeroChen提供新式標點
JS_716,RS_0479,T0796,新式標點,Jasmine提供新式標點
JS_717,RS_0209,T0216,新式標點,CBETA提供新式標點
JS_718,RS_0471,T0494,新式標點,Jasmine提供新式標點
JS_719,RS_0495,T0538,新式標點,Jasmine提供新式標點
JS_720,RS_0538,T0703,新式標點,李明芳大德提供新式標點
JS_721,RS_0509,T0571,新式標點,Jasmine提供新式標點
JS_722,RS_0141,T0590,新式標點,三寶弟子提供新式標點
JS_723,RS_0473,T0497,新式標點,Jasmine提供新式標點
JS_724,RS_0522,T0604,新式標點,侯淑娟提供新式標點
JS_725,RS_0478,T0503,新式標點,三寶弟子提供新式標點
JS_726,RS_0104z,T0612,新式標點,黃金愛大德提供新式標點
JS_727,RS_0129,T0801,新式標點,三寶弟子提供新式標點
JS_728,RS_0066,T0756,新式標點,Xian大德提供新式標點
JS_729,RS_0193,T0199,新式標點,法雨道場提供新式標點
JS_730,RS_0562,T0741,新式標點,三寶弟子提供新式標點
JS_731,RS_0556,T0733,新式標點,Jasmine提供新式標點
JS_732,RS_0483,T0512,新式標點,Jasmine提供新式標點
JS_733,RS_0191,T0197,新式標點,毛佩君大德提供新式標點
JS_734,RS_0514,T0584,新式標點,Jasmine提供新式標點
JS_735,RS_0210,T0217,新式標點,法雨道場提供新式標點
JS_736,RS_0113,T0504,新式標點,Jasmine提供新式標點
JS_737,RS_0587,T0799,新式標點,三寶弟子提供新式標點
JS_738,RS_1373,T1325,新式標點,Xian提供新式標點
JS_739,RS_0083,T0080,新式標點,三寶弟子提供新式標點
JS_740,RS_0569,T0753,新式標點,陳伯勳大德提供新式標點
JS_741,RS_0565,T0747b,新式標點,李明芳大德提供新式標點
JS_742,RS_0568b,T0751b,新式標點,李明芳大德提供新式標點
JS_743,RS_0497,T0541,新式標點,Jasmine提供新式標點
JS_744,RS_0472,T0496,新式標點,Jasmine提供新式標點
JS_745,RS_0558,T0736,新式標點,Jasmine提供新式標點
JS_746,RS_0475,T0500,新式標點,十字杵提供新式標點
JS_747,RS_0477,T0502,新式標點,三寶弟子提供新式標點
JS_748,RS_0476,T0501,新式標點,三寶弟子提供新式標點
JS_749,RS_0584,T0794b,新式標點,Jasmine提供新式標點
JS_750,RS_0563,T0742,新式標點,三寶弟子提供新式標點
JS_751,RS_0578,T0777,新式標點,三寶弟子提供新式標點
JS_752,RS_0515,T0592,新式標點,三寶弟子提供新式標點
JS_753,RS_0566,T0748,新式標點,Jasmine提供新式標點
JS_754,RS_0593,T0786,新式標點,三寶弟子提供新式標點
JS_755,RS_0147,T0800,新式標點,Jasmine提供新式標點
JS_756,RS_0496,T0539,新式標點,Jasmine提供新式標點
JS_757,RS_0488,T0522,新式標點,Jasmine提供新式標點
JS_758,RS_1303,T1262,新式標點,張革豐大德提供新式標點
JS_759,RS_0487,T0521,新式標點,Jasmine提供新式標點
JS_760,RS_0054,T0582,新式標點,釋振溥法師提供新式標點
JS_761,RS_0536,T0684,新式標點,三寶弟子提供新式標點
JS_762,RS_0063,T0062,新式標點,法雨道場提供新式標點
JS_763,RS_0146,T0215,新式標點,毛佩君、廖予安大德提供新式標點
JS_764,RS_0107,T0150B,新式標點,法雨道場提供新式標點
JS_765,RS_1542,T1481,新式標點,李明芳大德提供新式標點
JS_766,RS_0590,T0826,新式標點,黃金愛大德提供新式標點
JS_767,RS_0591,T0827,新式標點,毛佩君、廖予安、廖予慈大德提供新式標點
JS_768,RS_0683,T0544,新式標點,Jasmine提供新式標點
JS_769,RS_0510,T0578,新式標點,Jasmine提供新式標點
JS_770,RS_0498,T0542,新式標點,Jasmine提供新式標點
JS_771,RS_0484,T0517,新式標點,Jasmine提供新式標點
JS_772,RS_0486,T0519,新式標點,Jasmine提供新式標點
JS_773,RS_0485,T0518,新式標點,Jasmine提供新式標點
JS_774,RS_0489,T0523,新式標點,Jasmine提供新式標點
JS_775,RS_0539,T0707,新式標點,西蓮淨苑提供新式標點
JS_776,RS_0588,T0805,新式標點,三寶弟子提供新式標點
JS_777,RS_0561,T0740,新式標點,陳伯勳大德提供新式標點
JS_778,RS_0519,T0613,新式標點,李明芳大德提供新式標點
JS_779,RS_0521,T0603,新式標點,黃金愛大德提供新式標點
JS_780,RS_0567,T0749,新式標點,Jasmine提供新式標點
JS_781,RS_1072,T1050,新式標點,李明芳大德提供新式標點
JS_782,RS_0084,T0081,新式標點,法雨道場提供新式標點
JS_783,RS_1021,T0999,新式標點,高萌大德提供新式標點
JS_784,RS_0331,T0299,新式標點,果赴提供新式標點
JS_785,RS_0954,T0937,新式標點,李明芳大德提供新式標點
JS_786,RS_1202,T1164,新式標點,gaoyuefeng提供新式標點
JS_787,RS_0365,T0333,新式標點,西蓮淨苑提供新式標點
JS_788,RS_0684,T0546,新式標點,Jasmine提供新式標點
JS_789,RS_1046,T1025,新式標點,李明芳大德提供新式標點
JS_790,RS_0787,T0704,新式標點,三寶弟子提供新式標點
JS_791,RS_0641,T0472,新式標點,釋常諦法師提供新式標點
JS_792,RS_1184,T1147,新式標點,李明芳大德提供新式標點
JS_793,RS_1070,T1048,新式標點,李明芳大德提供新式標點
JS_794,RS_0960,T0943,新式標點,李明芳大德提供新式標點
JS_795,RS_0990a,T0974A,新式標點,gaoyuefeng提供新式標點
JS_796,RS_0288,T0258,新式標點,CBETA提供新式標點
JS_797,RS_1448,T1402,新式標點,李明芳大德提供新式標點
JS_798,RS_1400,T1355,新式標點,李明芳大德提供新式標點
JS_799,RS_1438,T1392,新式標點,李明芳大德提供新式標點
JS_800,RS_0571,T0758,新式標點,JaeroChen提供新式標點
JS_801,RS_1169,T1347,新式標點,李明芳大德提供新式標點
JS_802,RS_1043,T1023,新式標點,李明芳大德提供新式標點
JS_803,RS_0804,T0722,新式標點,JaeroChen提供新式標點
JS_804,RS_0382,T0352,新式標點,李明芳大德提供新式標點
JS_805,RS_0516,T0595,新式標點,波羅提供新式標點
JS_806,RS_0572,T0759,新式標點,毛佩君、廖予安、廖予慈大德提供新式標點
JS_807,RS_1534,T1473,新式標點,李明芳大德提供新式標點
JS_808,RS_1203,T1165,新式標點,gaoyuefeng提供新式標點
JS_809,RS_0796,T0705,新式標點,三寶弟子提供新式標點
JS_810,RS_1344,T1303,新式標點,李明芳大德提供新式標點
JS_811,RS_0576,T0764,新式標點,李明芳大德提供新式標點
JS_812,RS_1138,T1105,新式標點,李明芳大德提供新式標點
JS_813,RS_0540,T0719,新式標點,JaeroChen提供新式標點
JS_814,RS_1139,T1106,新式標點,李明芳大德提供新式標點
JS_815,RS_1076,T1054,新式標點,李明芳大德提供新式標點
JS_816,RS_1528,T1468,新式標點,李明芳大德提供新式標點
JS_817,RS_0861,T0846,新式標點,黃金愛大德提供新式標點
JS_818,RS_1147,T1114,新式標點,李明芳大德提供新式標點
JS_819,RS_1762,T1692,新式標點,李明芳大德提供新式標點
JS_820,RS_0545,T0725,新式標點,陳伯勳大德提供新式標點
JS_821,RS_0913,T0896,新式標點,JaeroChen大德提供新式標點
JS_822,RS_1540,T1479,新式標點,李明芳大德提供新式標點
JS_823,RS_1541,T1480,新式標點,李明芳大德提供新式標點
JS_824,RS_0935,T0919,新式標點,釋慈印法師提供新式標點
JS_825,RS_0604,T0437,新式標點,Jasmine提供新式標點
JS_826,RS_1457,T1411,新式標點,李明芳大德提供新式標點
JS_827,RS_0289,T0259,新式標點,CBETA提供新式標點
JS_828,RS_1449,T1403,新式標點,李明芳大德提供新式標點
JS_829,RS_1418,T1371,新式標點,李明芳大德提供新式標點
JS_830,RS_1454,T1408,新式標點,李明芳大德提供新式標點
JS_831,RS_1417,T1370,新式標點,李明芳大德提供新式標點
JS_832,RS_1277,T1236,新式標點,李明芳大德提供新式標點
JS_833,RS_1459,T1413,新式標點,李明芳大德提供新式標點
JS_834,RS_1443,T1398,新式標點,李明芳大德提供新式標點
JS_835,RS_1450,T1404,新式標點,李明芳大德提供新式標點
JS_836,RS_0716,T0594,新式標點,Jasmine提供新式標點
JS_837,RS_1458,T1412,新式標點,李明芳大德提供新式標點
JS_838,RS_0818,T0782,新式標點,三寶弟子提供新式標點
JS_839,RS_0720,T0601,新式標點,吉格艾諾提供新式標點
JS_840,RS_1160,T1127,新式標點,李明芳大德提供新式標點
JS_841,RS_1461,T1415,新式標點,李明芳大德提供新式標點
JS_842,RS_1149,T1116,新式標點,李明芳大德提供新式標點
JS_843,RS_1298,T1257,新式標點,李明芳大德提供新式標點
JS_844,RS_1295,T1254,新式標點,李明芳大德提供新式標點
JS_845,RS_1296b,T1255b,新式標點,李明芳大德提供新式標點
JS_846,RS_1297,T1256,新式標點,李明芳大德提供新式標點
JS_847,RS_0076,T0074,新式標點,法雨道場提供新式標點
JS_848,RS_1286,T1245,新式標點,李明芳大德提供新式標點
JS_849,RS_0004,T0003,新式標點,法雨道場提供新式標點
JS_850,RS_0021,T0019,新式標點,法雨道場提供新式標點
JS_851,RS_0226,T0166,新式標點,Jasmine提供新式標點
JS_852,RS_1159,T1126,新式標點,李明芳大德提供新式標點
JS_853,RS_1423,T1376,新式標點,李明芳大德提供新式標點
JS_854,RS_1069,T1047,新式標點,李明芳大德提供新式標點
JS_855,RS_1058,T1036,新式標點,李明芳大德提供新式標點
JS_856,RS_1402,T1359,新式標點,李明芳大德提供新式標點
JS_857,RS_1456,T1410,新式標點,李明芳大德提供新式標點
JS_858,RS_0185,T0191,新式標點,范振業大德提供新式標點
JS_859,RS_0003,T0002,新式標點,法雨道場提供新式標點
JS_860,RS_0134,T0804,新式標點,三寶弟子提供新式標點
JS_861,RS_0268,T0242,新式標點,CBETA提供新式標點
JS_862,RS_0393,T0363,新式標點,范振業大德提供新式標點
JS_863,RS_0255,T0229,新式標點,CBETA提供新式標點
JS_864,RS_0276,T0249,新式標點,CBETA提供新式標點
JS_865,RS_0609,T0439,新式標點,張曌昱大德提供新式標點
JS_866,RS_0797,T0711,新式標點,釋振溥法師提供新式標點
JS_867,RS_1447,T1401,新式標點,李明芳大德提供新式標點
JS_868,RS_1161,T1128,新式標點,李明芳大德提供新式標點
JS_869,RS_0032,T0030,新式標點,法雨道場提供新式標點
JS_870,RS_1000,T0978,新式標點,李明芳大德提供新式標點
JS_871,RS_1733,T1663,新式標點,李明芳大德提供新式標點
JS_872,RS_0353,T0321,新式標點,毛佩君、廖予安、廖予慈大德提供新式標點
JS_873,RS_0149,T0775,新式標點,Jasmine提供新式標點
JS_874,RS_1419,T1372,新式標點,李明芳大德提供新式標點
JS_875,RS_1071,T1049,新式標點,李明芳大德提供新式標點
JS_876,RS_1564,T1497,新式標點,佛教電腦資訊庫功德會提供新式標點
JS_877,RS_1455,T1409,新式標點,李明芳大德提供新式標點
JS_878,RS_0274,T0248,新式標點,CBETA提供新式標點
JS_879,RS_1206a,T1168A,新式標點,李明芳大德提供新式標點
JS_880,RS_0321,T0290,新式標點,毛佩君、廖予安、廖予慈大德提供新式標點
JS_881,RS_1378,T1330,新式標點,李明芳大德提供新式標點
JS_882,RS_1761,T1691,新式標點,李明芳大德提供新式標點
JS_883,RS_1431,T1385,新式標點,李明芳大德提供新式標點
JS_884,RS_1446,T1400,新式標點,李明芳大德提供新式標點
JS_885,RS_1432,T1386,新式標點,李明芳大德提供新式標點
JS_886,RS_1433,T1387,新式標點,李明芳大德提供新式標點
JS_887,RS_1430,T1384,新式標點,李明芳大德提供新式標點
JS_888,RS_1429,T1383,新式標點,李明芳大德提供新式標點
JS_889,RS_1178,T1143,新式標點,李明芳大德提供新式標點
JS_890,RS_1445,T1399,新式標點,李明芳大德提供新式標點
JS_891,RS_0951,T0934,新式標點,陳伯勳大德提供新式標點
JS_892,RS_1151,T1118,新式標點,李明芳大德提供新式標點
JS_893,RS_1436,T1390,新式標點,李明芳大德提供新式標點
JS_894,RS_1453,T1407,新式標點,李明芳大德提供新式標點
JS_895,RS_1426,T1379,新式標點,李明芳大德提供新式標點
JS_896,RS_0145,T0126,新式標點,法雨道場提供新式標點
JS_897,RS_1755,T1685,新式標點,李明芳大德提供新式標點
JS_898,RS_0160,T0845,新式標點,黃金愛大德提供新式標點
JS_899,RS_0043,T0041,新式標點,法雨道場提供新式標點
JS_900,RS_0009,T0009,新式標點,法雨道場提供新式標點
JS_901,RS_0117,T0715,新式標點,釋振溥法師提供新式標點
JS_902,RS_0127,T0802,新式標點,Jasmine提供新式標點
JS_903,RS_0011,T0045,新式標點,法雨道場提供新式標點
JS_904,RS_1371,T1380,新式標點,李明芳大德提供新式標點
JS_905,RS_1137,T1104,新式標點,李明芳大德提供新式標點
JS_906,RS_1427,T1381,新式標點,李明芳大德提供新式標點
JS_907,RS_1326,T1285,新式標點,李明芳大德提供新式標點
JS_908,RS_1413,T1366,新式標點,李明芳大德提供新式標點
JS_909,RS_1150,T1117,新式標點,李明芳大德提供新式標點
JS_910,RS_0136,T0117,新式標點,法雨道場提供新式標點
JS_911,RS_1227,T1186,新式標點,李明芳大德提供新式標點
JS_912,RS_1435,T1389,新式標點,李明芳大德提供新式標點
JS_913,RS_1428,T1382,新式標點,李明芳大德提供新式標點
JS_914,RS_1177,T1142,新式標點,李明芳大德提供新式標點
JS_915,RS_1185,T1148,新式標點,李明芳大德提供新式標點
JS_916,RS_0658,T0488,新式標點,CBETA提供新式標點
JS_917,RS_1172,T1140,新式標點,李明芳大德提供新式標點
JS_918,RS_1395,T1350,新式標點,李明芳大德提供新式標點
JS_919,RS_1451,T1405,新式標點,李明芳大德提供新式標點
JS_920,RS_0808,T0766,新式標點,Jasmine提供新式標點
JS_921,RS_0020,T0018,新式標點,法雨道場提供新式標點
JS_922,RS_0064,T0063,新式標點,法雨道場提供新式標點
JS_923,RS_0017,T0015,新式標點,法雨道場提供新式標點
JS_924,RS_0727,T0628,新式標點,毛佩君、廖予安、廖予慈大德提供新式標點
JS_925,RS_0376,T0346,新式標點,毛佩君、廖予安、廖予慈大德提供新式標點
JS_926,RS_0254,T0228,新式標點,佛教電腦資訊庫功德會提供新式標點
JS_927,RS_0574,T0762,新式標點,黃金愛大德提供新式標點
JS_928,RS_0071,T0069,新式標點,法雨道場提供新式標點
JS_929,RS_0088,T0084,新式標點,范振業大德提供新式標點
JS_930,RS_0165,T0718,新式標點,波羅提供新式標點
JS_931,RS_0109,T0104,新式標點,法雨道場提供新式標點
JS_932,RS_0016,T0052,新式標點,法雨道場提供新式標點
JS_933,RS_0853,T0838,新式標點,黃金愛大德提供新式標點
JS_934,RS_0283,T0257,新式標點,摩訶工作室提供新式標點
JS_935,RS_0859,T0843,新式標點,黃金愛大德提供新式標點
JS_936,RS_0153,T0130,新式標點,法雨道場提供新式標點
JS_937,RS_0013,T0012,新式標點,法雨道場提供新式標點
JS_938,RS_0500,T0549,新式標點,Jasmine提供新式標點
JS_939,RS_1424,T1377,新式標點,李明芳大德提供新式標點
JS_940,RS_1460,T1414,新式標點,李明芳大德提供新式標點
JS_941,RS_0754,T0654,新式標點,如佛提供新式標點
JS_942,RS_0085,T0755,新式標點,JaeroChen提供新式標點
JS_943,RS_0904,T0886,新式標點,陳伯勳大德提供新式標點
JS_944,RS_0090,T0085,新式標點,法雨道場提供新式標點
JS_945,RS_0474,T0498,新式標點,Jasmine提供新式標點
JS_946,RS_0363,T0331,新式標點,毛佩君、廖予安、廖予慈大德提供新式標點
JS_947,RS_0142,T0121,新式標點,法雨道場提供新式標點
JS_948,RS_0123,T0219,新式標點,釋常諦法師提供新式標點
JS_949,RS_0211,T0218,新式標點,范振業大德提供新式標點
JS_950,RS_0012,T0011,新式標點,法雨道場提供新式標點
JS_951,RS_0010,T0010,新式標點,法雨道場提供新式標點
JS_952,RS_0233,T0173,新式標點,范振業大德提供新式標點
JS_953,RS_0570,T0757,新式標點,黃金愛大德提供新式標點
JS_954,RS_0219,T0159,新式標點,法雨道場提供新式標點
JS_955,RS_1039,T1009,新式標點,李明芳大德提供新式標點
JS_956,RS_1044a,T1022A,新式標點,李明芳大德提供新式標點
JS_957,RS_1293a,T1252b,新式標點,李明芳大德提供新式標點
JS_958,RS_1294,T1253,新式標點,李明芳大德提供新式標點
JS_959,RS_1170,T1135,新式標點,李明芳大德提供新式標點
JS_960,RS_1305a,T1264b,新式標點,李明芳大德提供新式標點
JS_961,RS_1201,T1163,新式標點,gaoyuefeng提供新式標點
JS_962,RS_0800,T0710,新式標點,釋振溥法師提供新式標點
JS_963,RS_0662,T0489,新式標點,Jasmine提供新式標點
JS_964,RS_0272,T0246,新式標點,CBETA提供新式標點
JS_965,RS_1269,T1228,新式標點,李明芳大德提供新式標點
JS_966,RS_1270,T1229,新式標點,李明芳大德提供新式標點
JS_967,RS_0603,T0438,新式標點,釋心植法師提供新式標點
JS_968,RS_1565,T1498,新式標點,三寶弟子提供新式標點
JS_969,RS_1014,T0989,新式標點,李明芳大德提供新式標點
JS_970,RS_0776,T0682,新式標點,李明芳大德提供新式標點
JS_971,RS_0464,T0424,新式標點,邱昱翔提供新式標點
JS_972,RS_1133,T1100,新式標點,李明芳大德提供新式標點
JS_973,RS_1285,T1244,新式標點,李明芳大德提供新式標點
JS_974,RS_0637,T0469,新式標點,釋常諦法師提供新式標點
JS_975,RS_0442,T0400,新式標點,范振業大德提供新式標點
JS_976,RS_0405,T0372,新式標點,陳伯勳大德提供新式標點
JS_977,RS_1019,T0997,新式標點,毛佩君、廖予安、廖予慈大德提供新式標點
JS_978,RS_0358,T0326,新式標點,Jasmine提供新式標點
JS_979,RS_1059,T1037,新式標點,李明芳大德提供新式標點
JS_980,RS_1207,T1167,新式標點,李明芳大德提供新式標點
JS_981,RS_1372,T1324,新式標點,李明芳大德提供新式標點
JS_982,RS_1370,T1323,新式標點,李明芳大德提供新式標點
JS_983,RS_1354,T1313,新式標點,Xian提供新式標點
JS_984,RS_1359,T1318,新式標點,李明芳大德提供新式標點
JS_985,RS_0140,T0095,新式標點,法雨道場提供新式標點
JS_986,RS_1129,T1099,新式標點,李明芳大德提供新式標點
JS_987,RS_0666,T0516,新式標點,Jasmine提供新式標點
JS_988,RS_0040,T0038,新式標點,法雨道場提供新式標點
JS_989,RS_0030,T0028,新式標點,法雨道場提供新式標點
JS_990,RS_0273,T0247,新式標點,CBETA提供新式標點
JS_991,RS_0860,T0844,新式標點,毛佩君、廖予安、廖予慈大德提供新式標點
JS_992,RS_0008,T0008,新式標點,法雨道場提供新式標點
