汉字	max综合类型	max综合正字	min综合类型	min综合正字
𦚧	2	𦚧&胊	0	𦚧
𦚨	0	𦚨	0	𦚨
𦚩	0	𦚩	0	𦚩
𦚪	1	䑂	1	䑂
𦚫	0	𦚫	0	𦚫
𦚬	1	胯	1	胯
𦚭	2	䏣&𦚭	2	䏣&𦚭
𦚮	3	𦚙&胏	1	胏
𦚰	1	脅	3	
𦚲	2	𦚲&䐢	1	䐢
𦚳	1	脫	3	
𦚸	2	亙&𦚸	2	亙&𦚸
𦚹	2	亙&𦚹	2	亙&𦚹
𦚺	1	脠	1	脠
𦚻	3	𦙽&𦙱	1	𦙱
𦚽	1	胞	1	胞
𦚾	1	胸	3	
𦚿	1	朔	1	朔
𦛁	1	腦	1	腦
𦛂	1	胃	1	胃
𦛃	1	胳	1	胳
𦛄	1	胸	1	胸
𦛅	1	胺	1	胺
𦛆	1	脀	3	
𦛎	3	肺&胏	1	胏
𦛏	0	𦛏	0	𦛏
𦛐	0	𦛐	0	𦛐
𦛑	1	䐢	3	
𦛒	2	腎&𦛒&𦜜	2	腎&𦛒
𦛓	0	𦛓	0	𦛓
𦛔	1	𣎓	1	𣎓
𦛕	3	脅&胠	1	胠
𦛖	0	𦛖	0	𦛖
𦛗	2	呂&𦛗	2	呂&𦛗
𦛘	0	𦛘	0	𦛘
𦛙	0	𦛙	0	𦛙
𦛚	0	𦛚	0	𦛚
𦛛	2	𦛛&𦞤	1	𦞤
𦛜	3	肣&頜	3	肣&頜
𦛝	0	𦛝	0	𦛝
𦛞	1	腌	1	腌
𦛟	3	骾&鯁	1	骾
𦛠	0	𦛠	0	𦛠
𦛡	2	𦛡&肰	1	肰
𦛣	0	𦛣	0	𦛣
𦛤	0	𦛤	0	𦛤
𦛥	2	腕&𦛥	2	腕&𦛥
𦛦	1	肰	1	肰
𦛨	1	癆	3	
𦛩	2	㬶&𦛩	0	𦛩
𦛪	0	𦛪	0	𦛪
𦛫	1	脀	1	脀
𦛬	1	胤	1	胤
𦛮	1	脘	3	
𦛱	1	胠	3	
𦛳	1	腦	1	腦
𦛴	1	䐢	1	䐢
𦛵	1	磐	1	磐
𦛶	1	腳	1	腳
𦛷	1	脟	1	脟
𦛹	1	胾	1	胾
𦜂	2	肴&𦜂	1	肴
𦜃	0	𦜃	0	𦜃
𦜄	0	𦜄	0	𦜄
𦜅	1	膀	1	膀
𦜆	1	顄	1	顄
𦜇	2	胐&𦜇	2	胐&𦜇
𦜈	1	䐑	1	䐑
𦜉	1	脾	3	
𦜊	0	𦜊	0	𦜊
𦜋	3	𦜗&䏳&𨡘	3	䏳&𨡘
𦜌	1	胗	1	胗
𦜍	2	肨&𦜍	1	肨
𦜎	0	𦜎	0	𦜎
𦜏	1	𨁸	1	𨁸
𦜐	1	脘	1	脘
𦜑	1	䏿	1	䏿
𦜒	0	𦜒	0	𦜒
𦜓	3	𤴾&脪	3	𤴾&脪
𦜔	1	膝	1	膝
𦜕	1	跽	1	跽
𦜖	0	𦜖	0	𦜖
𦜗	2	𦜗&𨡘	1	𨡘
𦜘	1	乳	1	乳
𦜙	1	飪	1	飪
𦜚	1	肴	1	肴
𦜛	0	𦜛	0	𦜛
𦜜	0	𦜜	0	𦜜
𦜟	1	䏽	1	䏽
𦜠	1	脾	1	脾
𦜡	1	炙	1	炙
𦜣	1	䏶	3	
𦜩	1	腦	1	腦
𦜪	1	䐑	1	䐑
𦜫	1	䐑	3	
𦜬	1	肭	1	肭
𦜮	1	胯	3	
𦜯	0	𦜯	3	
𦜳	1	晶	1	晶
𦜴	1	臀	3	
𦜵	1	脙	1	脙
𦜶	1	膀	1	膀
𦜷	1	𦞌	3	
𦜹	1	䏿	1	䏿
𦜺	1	辟	1	辟
𦜻	1	䐢	1	䐢
𦜼	1	豚	3	
𦜽	3	醃&腌	1	腌
𦜾	3	𦜗&𨡘	1	𨡘
𦜿	1	䐄	1	䐄
𦝁	1	期	3	
𦝏	2	膞&𦝏	2	膞&𦝏
𦝐	1	皰	1	皰
𦝑	2	育&𦝑	0	𦝑
𦝒	2	𦛖&𦝒	0	𦝒
𦝓	2	𦙽&𦙱&𦝓	2	𦙱&𦝓
𦝔	2	胝&𦝔	1	胝
𦝕	1	能	1	能
𦝖	2	𦝖&𦠾	2	𦝖&𦠾
𦝗	1	胕	1	胕
𦝘	1	腃	1	腃
𦝙	3	臘&腊	1	腊
𦝚	0	𦝚	0	𦝚
𦝛	0	𦝛	0	𦝛
𦝜	2	𦝜&䐼	1	䐼
𦝝	0	𦝝	0	𦝝
𦝞	0	𦝞	0	𦝞
𦝟	0	𦝟	0	𦝟
𦝠	0	𦝠	0	𦝠
𦝡	1	腤	1	腤
𦝢	0	𦝢	0	𦝢
𦝣	3	頦&髂	3	頦&髂
𦝤	0	𦝤	0	𦝤
𦝥	0	𦝥	0	𦝥
𦝦	0	𦝦	0	𦝦
𦝧	1	腩	1	腩
𦝨	0	𦝨	0	𦝨
𦝩	1	胃	1	胃
𦝪	2	咽&胭&𦝪	2	胭&𦝪
𦝫	1	腰	1	腰
𦝬	1	腯	1	腯
𦝭	2	膟&𦝭	0	𦝭
𦝮	2	𦝮&吻	1	吻
𦝯	1	胅	1	胅
𦝰	2	腦&𦝰	0	𦝰
𦝱	1	䐐	1	䐐
𦝲	2	鴅&𣎅&𦝲	2	鴅&𦝲
𦝳	0	𦝳	0	𦝳
𦝴	2	癊&𦝴	1	癊
𦝵	2	肣&𦝵	2	肣&𦝵
𦝶	1	腦	1	腦
𦝷	0	𦝷	0	𦝷
𦝸	1	肰	1	肰
𦝼	1	膢	3	
𦞁	2	睵&𦞁	2	睵&𦞁
𦞃	1	膝	3	
𦞄	1	腦	1	腦
𦞅	1	胃	1	胃
𦞇	1	聥	3	
𦞉	1	𦝨	1	𦝨
𦞊	1	幐	3	
𦞋	1	戮	1	戮
𦞌	0	𦞌	3	
𦞐	1	齶	3	
𦞕	1	喉	1	喉
𦞖	0	𦞖	0	𦞖
𦞗	0	𦞗	0	𦞗
𦞙	0	𦞙	0	𦞙
𦞚	0	𦞚	0	𦞚
𦞛	1	𠞮	1	𠞮
𦞜	2	瘜&𦞜	1	瘜
𦞝	2	餼&𦞝	2	餼&𦞝
𦞞	1	函	1	函
𦞟	0	𦞟	0	𦞟
𦞠	3	臀&脽&𡱂	3	臀&脽
𦞡	0	𦞡	0	𦞡
𦞢	0	𦞢	0	𦞢
𦞣	1	臊	1	臊
𦞤	2	胏&𦞤	0	𦞤
𦞥	0	𦞥	0	𦞥
𦞦	2	臛&𦞦	0	𦞦
𦞧	1	瘤	1	瘤
𦞨	2	宮&𦞨	0	𦞨
𦞩	1	胤	1	胤
𦞪	1	脀	1	脀
𦞫	0	𦞫	0	𦞫
𦞬	1	腱	1	腱
𦞭	0	𦞭	0	𦞭
𦞯	1	嗜	1	嗜
𦞰	2	㟳&𦞰	1	㟳
𦞱	1	𦞙	1	𦞙
𦞲	0	𦞲	0	𦞲
𦞵	0	𦞵	0	𦞵
𦞶	1	腹	1	腹
𦞹	1	膊	3	
𦞾	1	臇	3	
𦞿	1	腕	1	腕
𦟀	1	𦝠	1	𦝠
𦟁	1	朚	1	朚
𦟄	1	臊	1	臊
𦟅	1	臊	1	臊
𦟐	0	𦟐	3	
𦟓	1	臀	3	
𦟔	0	𦟔	0	𦟔
𦟕	2	𦝮&𦟕	0	𦟕
𦟗	1	𦣎	3	
𦟘	0	𦟘	0	𦟘
𦟙	0	𦟙	0	𦟙
𦟚	1	𦟰	3	
𦟛	1	傭	1	傭
𦟜	0	𦟜	0	𦟜
𦟝	1	脊	1	脊
𦟟	0	𦟟	0	𦟟
𦟠	0	𦟠	0	𦟠
𦟡	1	䐴	1	䐴
𦟢	1	脣	1	脣
𦟣	0	𦟣	0	𦟣
𦟤	3	羞&饈	1	饈
𦟥	2	遯&𦟥	1	遯
𦟦	1	膜	1	膜
𦟧	0	𦟧	0	𦟧
𦟨	1	艐	3	
𦟩	1	腌	1	腌
𦟯	1	肋	1	肋
𦟰	2	𦟰&皻	1	皻
𦟱	1	縮	1	縮
𦟲	1	昏	3	
𦟳	1	醵	1	醵
𦟴	1	醟	1	醟
𦟼	0	𦟼	3	
𦟾	1	膒	3	
𦠀	3	𦠠&䏳	1	䏳
𦠁	0	𦠁	0	𦠁
𦠃	1	臍	1	臍
𦠄	0	𦠄	0	𦠄
𦠅	2	𣎟&𦠅	0	𦠅
𦠆	3	饌&䐣	3	饌&䐣
𦠇	0	𦠇	0	𦠇
𦠈	2	𣎛&𦠈	0	𦠈
𦠉	0	𦠉	0	𦠉
𦠊	1	腦	1	腦
𦠋	1	治	1	治
𦠌	2	胹&𦠌	1	胹
𦠍	2	齶&𦠍	1	齶
𦠎	0	𦠎	0	𦠎
𦠏	2	𤶠&𦠏	0	𦠏
𦠐	2	𦙽&𦙱&𦠐	2	𦙱&𦠐
𦠑	2	𦠒&𩪗&𦠑	2	𩪗&𦠑
𦠒	2	𦠒&𩪗	1	𩪗
𦠓	0	𦠓	0	𦠓
𦠔	3	𦠠&䏳	1	䏳
𦠕	2	臍&𦠕	0	𦠕
𦠖	0	𦠖	0	𦠖
𦠗	1	脊	1	脊
𦠝	1	瘤	1	瘤
𦠞	1	臂	1	臂
𦠟	1	䏳	1	䏳
𦠠	2	𦠠&䏳	1	䏳
𦠤	1	腦	1	腦
𦠥	3	瞯&瞷	1	瞷
𦠦	1	疏	3	
𦠧	1	膠	3	
𦠨	1	臊	1	臊
𦠩	1	𦠓	1	𦠓
𦠪	1	臘	3	
𦠫	1	嫩	1	嫩
𦠬	1	臇	1	臇
𦠷	0	𦠷	0	𦠷
𦠸	0	𦠸	0	𦠸
𦠹	0	𦠹	0	𦠹
𦠺	0	𦠺	0	𦠺
𦠻	0	𦠻	0	𦠻
𦠼	1	臘	1	臘
𦠾	0	𦠾	0	𦠾
𦠿	0	𦠿	0	𦠿
