[2025-10-05 06:05:07]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.002s]
[2025-10-05 06:05:08]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.002s]
[2025-10-05 06:05:08]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.130s]
[2025-10-05 06:05:08]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.002s]
[2025-10-05 06:05:08]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.002s]
[2025-10-05 06:05:08]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.080s]
[2025-10-05 06:05:08]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.002s]
[2025-10-05 06:05:08]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.002s]
[2025-10-05 06:05:08]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.118s]
[2025-10-05 06:05:08]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.002s]
[2025-10-05 06:05:08]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.002s]
[2025-10-05 06:05:08]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.138s]
[2025-10-05 06:05:08]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.002s]
[2025-10-05 06:05:08]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.002s]
[2025-10-05 06:05:09]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.282s]
[2025-10-05 06:05:09]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.002s]
[2025-10-05 06:05:09]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.002s]
[2025-10-05 06:05:09]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.148s]
[2025-10-05 06:05:09]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.002s]
[2025-10-05 06:05:09]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.002s]
[2025-10-05 06:05:10]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.542s]
[2025-10-05 06:05:10]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.002s]
[2025-10-05 06:05:10]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.002s]
[2025-10-05 06:05:10]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.078s]
[2025-10-05 06:05:10]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.002s]
[2025-10-05 06:05:10]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.002s]
[2025-10-05 06:05:10]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.167s]
[2025-10-05 06:05:10]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.002s]
[2025-10-05 06:05:10]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.002s]
[2025-10-05 06:05:10]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.104s]
[2025-10-05 06:05:10]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.002s]
[2025-10-05 06:05:10]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.002s]
[2025-10-05 06:05:10]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.123s]
[2025-10-05 06:05:10]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.002s]
[2025-10-05 06:05:10]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.002s]
[2025-10-05 06:05:10]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.063s]
[2025-10-05 06:05:10]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.002s]
[2025-10-05 06:05:10]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.002s]
[2025-10-05 06:05:11]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.124s]
[2025-10-05 06:05:11]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.002s]
[2025-10-05 06:05:11]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.005s]
[2025-10-05 06:05:11]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.098s]
[2025-10-05 06:05:11]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.002s]
[2025-10-05 06:05:11]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.002s]
[2025-10-05 06:05:11]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.076s]
[2025-10-05 06:05:11]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.002s]
[2025-10-05 06:05:11]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.002s]
[2025-10-05 06:05:11]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.054s]
[2025-10-05 06:05:11]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.002s]
[2025-10-05 06:05:11]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.002s]
[2025-10-05 06:05:11]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.205s]
[2025-10-05 06:05:11]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.002s]
[2025-10-05 06:05:11]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.002s]
[2025-10-05 06:05:11]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.042s]
[2025-10-05 06:05:11]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.002s]
[2025-10-05 06:05:11]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.002s]
[2025-10-05 06:05:12]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.129s]
[2025-10-05 06:05:12]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.002s]
[2025-10-05 06:05:12]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.002s]
[2025-10-05 06:05:12]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.106s]
[2025-10-05 06:05:12]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.002s]
[2025-10-05 06:05:12]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.002s]
[2025-10-05 06:05:12]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.082s]
[2025-10-05 06:05:12]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.002s]
[2025-10-05 06:05:12]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.002s]
[2025-10-05 06:05:12]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.080s]
[2025-10-05 06:05:12]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.002s]
[2025-10-05 06:05:12]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.002s]
[2025-10-05 06:05:12]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.113s]
[2025-10-05 06:05:12]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.002s]
[2025-10-05 06:05:12]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.002s]
[2025-10-05 06:05:12]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.109s]
[2025-10-05 06:05:13]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.002s]
[2025-10-05 06:05:13]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.002s]
[2025-10-05 06:05:13]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.101s]
[2025-10-05 06:05:13]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.002s]
[2025-10-05 06:05:13]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.002s]
[2025-10-05 06:05:13]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.091s]
[2025-10-05 06:05:13]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.002s]
[2025-10-05 06:05:13]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.002s]
[2025-10-05 06:05:13]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.135s]
[2025-10-05 06:05:13]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.002s]
[2025-10-05 06:05:13]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.002s]
[2025-10-05 06:05:13]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.077s]
[2025-10-05 06:05:13]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.002s]
[2025-10-05 06:05:13]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.002s]
[2025-10-05 06:05:14]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.285s]
[2025-10-05 06:05:14]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.002s]
