page_name,cid,next_cid,ocr_txt,cmp_txt,next_ocr_txt,next_cmp_txt,link
PH_1_162,304,305,一,一,大,大,https://work.tripitakas.net/page/PH_1_162?cid=304
PH_1_163,64,65,一,一,切,切,https://work.tripitakas.net/page/PH_1_163?cid=64
PH_1_163,69,70,一,一,切,切,https://work.tripitakas.net/page/PH_1_163?cid=69
PH_1_166,55,56,一,一,面,面,https://work.tripitakas.net/page/PH_1_166?cid=55
PH_1_166,176,177,一,一,一,二,https://work.tripitakas.net/page/PH_1_166?cid=176
PH_1_166,307,308,一,一,一,三,https://work.tripitakas.net/page/PH_1_166?cid=307
PH_1_166,507,508,一,一,面,面,https://work.tripitakas.net/page/PH_1_166?cid=507
PH_1_166,510,511,一,一,九,九,https://work.tripitakas.net/page/PH_1_166?cid=510
PH_1_166,659,660,一,一,諸,諸,https://work.tripitakas.net/page/PH_1_166?cid=659
PH_1_168,315,316,一,一,道,道,https://work.tripitakas.net/page/PH_1_168?cid=315
PH_1_168,403,404,一,一,一,一,https://work.tripitakas.net/page/PH_1_168?cid=403
PH_1_168,404,405,一,一,出,出,https://work.tripitakas.net/page/PH_1_168?cid=404
PH_1_168,432,433,一,一,年,年,https://work.tripitakas.net/page/PH_1_168?cid=432
PH_1_168,446,447,一,一,年,年,https://work.tripitakas.net/page/PH_1_168?cid=446
PH_1_168,624,625,一,一,年,年,https://work.tripitakas.net/page/PH_1_168?cid=624
PH_1_168,628,629,一,一,年,年,https://work.tripitakas.net/page/PH_1_168?cid=628
PH_1_204,29,30,一,一,劫,劫,https://work.tripitakas.net/page/PH_1_204?cid=29
PH_1_204,37,38,一,一,劫,劫,https://work.tripitakas.net/page/PH_1_204?cid=37
PH_1_204,101,102,一,一,劫,劫,https://work.tripitakas.net/page/PH_1_204?cid=101
PH_1_204,109,110,一,一,劫,劫,https://work.tripitakas.net/page/PH_1_204?cid=109
PH_1_204,112,113,一,一,阿,阿,https://work.tripitakas.net/page/PH_1_204?cid=112
PH_1_204,201,202,一,一,劫,劫,https://work.tripitakas.net/page/PH_1_204?cid=201
PH_1_204,205,206,一,一,劫,劫,https://work.tripitakas.net/page/PH_1_204?cid=205
PH_1_204,220,221,一,一,劫,劫,https://work.tripitakas.net/page/PH_1_204?cid=220
PH_1_204,224,225,一,一,劫,劫,https://work.tripitakas.net/page/PH_1_204?cid=224
PH_1_204,313,314,一,一,劫,劫,https://work.tripitakas.net/page/PH_1_204?cid=313
PH_1_204,321,322,一,一,劫,劫,https://work.tripitakas.net/page/PH_1_204?cid=321
PH_1_204,363,364,一,一,阿,阿,https://work.tripitakas.net/page/PH_1_204?cid=363
PH_1_204,368,369,一,一,時,時,https://work.tripitakas.net/page/PH_1_204?cid=368
PH_1_204,438,439,一,一,劫,劫,https://work.tripitakas.net/page/PH_1_204?cid=438
PH_1_204,442,443,一,一,劫,劫,https://work.tripitakas.net/page/PH_1_204?cid=442
PH_1_204,482,483,一,一,劫,劫,https://work.tripitakas.net/page/PH_1_204?cid=482
PH_1_204,486,487,一,一,劫,劫,https://work.tripitakas.net/page/PH_1_204?cid=486
PH_1_204,549,550,一,一,劫,劫,https://work.tripitakas.net/page/PH_1_204?cid=549
PH_1_204,557,558,一,一,劫,劫,https://work.tripitakas.net/page/PH_1_204?cid=557
PH_1_204,604,605,一,一,時,時,https://work.tripitakas.net/page/PH_1_204?cid=604
PH_1_205,153,154,一,一,劫,劫,https://work.tripitakas.net/page/PH_1_205?cid=153
PH_1_205,157,158,一,一,劫,劫,https://work.tripitakas.net/page/PH_1_205?cid=157
PH_1_205,197,198,一,一,劫,劫,https://work.tripitakas.net/page/PH_1_205?cid=197
PH_1_205,201,202,一,一,劫,劫,https://work.tripitakas.net/page/PH_1_205?cid=201
PH_1_205,264,265,一,一,劫,劫,https://work.tripitakas.net/page/PH_1_205?cid=264
PH_1_205,272,273,一,一,劫,劫,https://work.tripitakas.net/page/PH_1_205?cid=272
PH_1_205,319,320,一,一,時,時,https://work.tripitakas.net/page/PH_1_205?cid=319
PH_1_205,387,388,一,一,劫,劫,https://work.tripitakas.net/page/PH_1_205?cid=387
PH_1_205,391,392,一,一,劫,劫,https://work.tripitakas.net/page/PH_1_205?cid=391
PH_1_205,431,432,一,一,劫,劫,https://work.tripitakas.net/page/PH_1_205?cid=431
PH_1_205,435,436,一,一,劫,劫,https://work.tripitakas.net/page/PH_1_205?cid=435
PH_1_205,498,499,一,一,劫,劫,https://work.tripitakas.net/page/PH_1_205?cid=498
PH_1_205,506,507,一,一,劫,劫,https://work.tripitakas.net/page/PH_1_205?cid=506
PH_1_205,553,554,一,一,時,時,https://work.tripitakas.net/page/PH_1_205?cid=553
PH_1_209,94,95,一,一,依,依,https://work.tripitakas.net/page/PH_1_209?cid=94
PH_1_209,195,196,一,一,四,一,https://work.tripitakas.net/page/PH_1_209?cid=195
PH_1_209,215,216,一,一,長,長,https://work.tripitakas.net/page/PH_1_209?cid=215
PH_1_209,285,286,一,一,依,依,https://work.tripitakas.net/page/PH_1_209?cid=285
PH_1_209,402,403,一,一,一,二,https://work.tripitakas.net/page/PH_1_209?cid=402
PH_1_209,485,486,一,一,三,三,https://work.tripitakas.net/page/PH_1_209?cid=485
PH_1_209,598,599,一,一,面,面,https://work.tripitakas.net/page/PH_1_209?cid=598
PH_1_209,607,608,一,一,面,面,https://work.tripitakas.net/page/PH_1_209?cid=607
PH_1_211,391,392,一,一,樹,樹,https://work.tripitakas.net/page/PH_1_211?cid=391
PH_1_211,405,406,一,一,面,面,https://work.tripitakas.net/page/PH_1_211?cid=405
PH_1_211,415,416,一,一,面,面,https://work.tripitakas.net/page/PH_1_211?cid=415
PH_1_211,458,459,一,一,時,時,https://work.tripitakas.net/page/PH_1_211?cid=458
PH_1_211,474,475,一,一,樹,樹,https://work.tripitakas.net/page/PH_1_211?cid=474
PH_1_211,501,502,一,一,人,人,https://work.tripitakas.net/page/PH_1_211?cid=501
PH_1_218,112,113,一,一,比,比,https://work.tripitakas.net/page/PH_1_218?cid=112
PH_1_218,205,206,一,一,面,面,https://work.tripitakas.net/page/PH_1_218?cid=205
PH_1_218,215,216,一,一,面,面,https://work.tripitakas.net/page/PH_1_218?cid=215
PH_1_218,484,485,一,一,六,六,https://work.tripitakas.net/page/PH_1_218?cid=484
PH_1_226,75,76,一,一,曰,■,https://work.tripitakas.net/page/PH_1_226?cid=75
PH_1_226,233,234,一,一,六,六,https://work.tripitakas.net/page/PH_1_226?cid=233
PH_1_226,337,338,一,一,七,七,https://work.tripitakas.net/page/PH_1_226?cid=337
PH_1_226,376,377,一,一,如,如,https://work.tripitakas.net/page/PH_1_226?cid=376
PH_1_226,505,506,一,一,如,如,https://work.tripitakas.net/page/PH_1_226?cid=505
PH_1_226,558,559,一,一,八,八,https://work.tripitakas.net/page/PH_1_226?cid=558
PH_1_241,116,117,一,一,唯,皆,https://work.tripitakas.net/page/PH_1_241?cid=116
PH_1_241,146,147,一,一,唯,皆,https://work.tripitakas.net/page/PH_1_241?cid=146
PH_1_241,177,178,一,一,唯,皆,https://work.tripitakas.net/page/PH_1_241?cid=177
PH_1_241,209,210,一,一,唯,皆,https://work.tripitakas.net/page/PH_1_241?cid=209
PH_1_241,243,244,一,一,唯,皆,https://work.tripitakas.net/page/PH_1_241?cid=243
PH_1_241,377,379,一,一,一,一,https://work.tripitakas.net/page/PH_1_241?cid=377
PH_1_241,379,380,一,一,二,■,https://work.tripitakas.net/page/PH_1_241?cid=379
PH_1_241,466,467,一,一,唯,唯,https://work.tripitakas.net/page/PH_1_241?cid=466
PH_1_241,498,499,一,一,唯,唯,https://work.tripitakas.net/page/PH_1_241?cid=498
PH_1_241,531,532,一,一,唯,唯,https://work.tripitakas.net/page/PH_1_241?cid=531
PH_1_242,101,102,一,一,唯,唯,https://work.tripitakas.net/page/PH_1_242?cid=101
PH_1_242,131,132,一,一,唯,唯,https://work.tripitakas.net/page/PH_1_242?cid=131
PH_1_242,162,163,一,一,唯,唯,https://work.tripitakas.net/page/PH_1_242?cid=162
PH_1_242,194,195,一,一,唯,唯,https://work.tripitakas.net/page/PH_1_242?cid=194
PH_1_242,228,229,一,一,唯,唯,https://work.tripitakas.net/page/PH_1_242?cid=228
PH_1_242,359,360,一,一,一,一,https://work.tripitakas.net/page/PH_1_242?cid=359
PH_1_242,360,361,一,一,三,三,https://work.tripitakas.net/page/PH_1_242?cid=360
PH_1_242,531,532,一,一,昔,昔,https://work.tripitakas.net/page/PH_1_242?cid=531
PH_1_242,547,548,一,一,昔,昔,https://work.tripitakas.net/page/PH_1_242?cid=547
PH_1_242,564,565,一,一,昔,昔,https://work.tripitakas.net/page/PH_1_242?cid=564
PH_1_245,10,11,一,一,來,來,https://work.tripitakas.net/page/PH_1_245?cid=10
PH_1_245,15,16,一,一,度,度,https://work.tripitakas.net/page/PH_1_245?cid=15
PH_1_245,183,184,一,一,來,來,https://work.tripitakas.net/page/PH_1_245?cid=183
PH_1_245,188,189,一,一,度,度,https://work.tripitakas.net/page/PH_1_245?cid=188
PH_1_245,371,372,一,一,來,來,https://work.tripitakas.net/page/PH_1_245?cid=371
PH_1_245,376,377,一,一,度,度,https://work.tripitakas.net/page/PH_1_245?cid=376
PH_1_245,586,587,一,一,般,般,https://work.tripitakas.net/page/PH_1_245?cid=586
PH_1_268,267,268,一,一,方,方,https://work.tripitakas.net/page/PH_1_268?cid=267
PH_1_268,292,293,一,一,切,切,https://work.tripitakas.net/page/PH_1_268?cid=292
PH_1_268,353,354,一,一,方,方,https://work.tripitakas.net/page/PH_1_268?cid=353
PH_1_268,378,379,一,一,切,切,https://work.tripitakas.net/page/PH_1_268?cid=378
PH_1_268,540,541,一,一,切,切,https://work.tripitakas.net/page/PH_1_268?cid=540
PH_1_268,567,568,一,一,一,〔,https://work.tripitakas.net/page/PH_1_268?cid=567
PH_1_280,361,362,一,一,猶,猶,https://work.tripitakas.net/page/PH_1_280?cid=361
PH_1_280,469,470,一,一,三,三,https://work.tripitakas.net/page/PH_1_280?cid=469
PH_1_283,321,322,一,一,一,一,https://work.tripitakas.net/page/PH_1_283?cid=321
PH_1_283,322,323,一,一,知,知,https://work.tripitakas.net/page/PH_1_283?cid=322
PH_1_283,469,470,一,一,一,一,https://work.tripitakas.net/page/PH_1_283?cid=469
PH_1_283,470,471,一,一,知,知,https://work.tripitakas.net/page/PH_1_283?cid=470
PH_1_283,518,519,一,一,耶,耶,https://work.tripitakas.net/page/PH_1_283?cid=518
PH_1_283,542,543,一,一,也,也,https://work.tripitakas.net/page/PH_1_283?cid=542
PH_1_283,566,567,一,一,耶,耶,https://work.tripitakas.net/page/PH_1_283?cid=566
PH_1_283,579,580,一,一,有,有,https://work.tripitakas.net/page/PH_1_283?cid=579
PH_1_283,593,594,一,一,之,之,https://work.tripitakas.net/page/PH_1_283?cid=593
PH_1_283,638,639,一,一,一,』,https://work.tripitakas.net/page/PH_1_283?cid=638
PH_1_288,601,602,一,一,曰,日,https://work.tripitakas.net/page/PH_1_288?cid=601
PH_1_306,40,41,一,一,一,七,https://work.tripitakas.net/page/PH_1_306?cid=40
PH_1_306,71,72,一,一,吹,吹,https://work.tripitakas.net/page/PH_1_306?cid=71
PH_1_306,85,86,一,一,村,村,https://work.tripitakas.net/page/PH_1_306?cid=85
PH_1_306,102,103,一,一,面,面,https://work.tripitakas.net/page/PH_1_306?cid=102
PH_1_309,20,21,一,一,人,人,https://work.tripitakas.net/page/PH_1_309?cid=20
PH_1_309,180,181,一,一,汝,汝,https://work.tripitakas.net/page/PH_1_309?cid=180
