[2025-10-04 04:02:57]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.002s]
[2025-10-04 04:02:57]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.002s]
[2025-10-04 04:02:57]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.001s]
[2025-10-04 04:02:58]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.526s]
[2025-10-04 04:02:58]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.002s]
[2025-10-04 04:02:58]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.002s]
[2025-10-04 04:02:58]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.001s]
[2025-10-04 04:02:58]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.001s]
[2025-10-04 04:02:58]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.776s]
[2025-10-04 04:02:58]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.002s]
[2025-10-04 04:02:58]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.002s]
[2025-10-04 04:02:58]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.001s]
[2025-10-04 04:02:58]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.001s]
[2025-10-04 04:02:59]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.602s]
[2025-10-04 04:02:59]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.002s]
[2025-10-04 04:02:59]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.002s]
[2025-10-04 04:02:59]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.002s]
[2025-10-04 04:02:59]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.006s]
[2025-10-04 04:02:59]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.259s]
[2025-10-04 04:03:01]GET http://localhost:9201/jsz-ik/_search [status:200 request:1.230s]
[2025-10-04 04:03:01]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.002s]
[2025-10-04 04:03:01]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.002s]
[2025-10-04 04:03:01]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.001s]
[2025-10-04 04:03:01]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.001s]
[2025-10-04 04:03:01]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.449s]
[2025-10-04 04:03:01]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.002s]
[2025-10-04 04:03:01]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.001s]
[2025-10-04 04:03:01]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.001s]
[2025-10-04 04:03:01]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.001s]
[2025-10-04 04:03:02]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.415s]
[2025-10-04 04:03:02]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.002s]
[2025-10-04 04:03:02]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.001s]
[2025-10-04 04:03:02]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.001s]
[2025-10-04 04:03:02]GET http://localhost:9201/jsz-ik/_search [status:200 request:0.001s]
