page,issue_type,obj_id,detail
HN_2_575,CHAR_MISSING_COLUMN,b2c18c2,expected column b2c18
HN_2_575,CHAR_MISSING_COLUMN,b2c18c3,expected column b2c18
HN_2_575,CHAR_MISSING_COLUMN,b2c18c4,expected column b2c18
HN_2_575,CHAR_MISSING_COLUMN,b2c28c1,expected column b2c28
HN_2_575,CHAR_MISSING_COLUMN,b2c28c2,expected column b2c28
HN_2_575,CHAR_MISSING_COLUMN,b2c28c3,expected column b2c28
HN_3_405,CHAR_MISSING_COLUMN,b1c9c1,expected column b1c9
HN_3_405,CHAR_MISSING_COLUMN,b1c12c1,expected column b1c12
HN_3_405,CHAR_MISSING_COLUMN,b1c14c1,expected column b1c14
HN_3_405,CHAR_MISSING_COLUMN,b1c16c1,expected column b1c16
HN_4_623,COLUMN_MISSING_BLOCK,b2c1,expected block b2
HN_4_623,COLUMN_MISSING_BLOCK,b2c2,expected block b2
HN_4_623,COLUMN_MISSING_BLOCK,b2c3,expected block b2
HN_4_623,COLUMN_MISSING_BLOCK,b2c4,expected block b2
HN_4_623,COLUMN_MISSING_BLOCK,b2c5,expected block b2
HN_4_623,COLUMN_MISSING_BLOCK,b2c6,expected block b2
HN_4_623,COLUMN_MISSING_BLOCK,b2c7,expected block b2
HN_4_623,COLUMN_MISSING_BLOCK,b2c8,expected block b2
HN_4_623,COLUMN_MISSING_BLOCK,b2c9,expected block b2
HN_4_623,COLUMN_MISSING_BLOCK,b2c10,expected block b2
HN_4_623,COLUMN_MISSING_BLOCK,b2c11,expected block b2
HN_4_230,CHAR_MISSING_COLUMN,b2c34c1,expected column b2c34
HN_4_230,CHAR_MISSING_COLUMN,b2c34c2,expected column b2c34
HN_4_230,CHAR_MISSING_COLUMN,b2c34c3,expected column b2c34
HN_4_230,CHAR_MISSING_COLUMN,b2c34c4,expected column b2c34
HN_4_230,CHAR_MISSING_COLUMN,b2c34c5,expected column b2c34
HN_4_230,CHAR_MISSING_COLUMN,b2c34c6,expected column b2c34
HN_4_230,CHAR_MISSING_COLUMN,b2c34c7,expected column b2c34
HN_4_230,CHAR_MISSING_COLUMN,b2c38c1,expected column b2c38
HN_4_230,CHAR_MISSING_COLUMN,b2c38c2,expected column b2c38
HN_4_230,CHAR_MISSING_COLUMN,b2c38c3,expected column b2c38
HN_4_230,CHAR_MISSING_COLUMN,b2c38c4,expected column b2c38
HN_4_230,CHAR_MISSING_COLUMN,b2c38c5,expected column b2c38
HN_4_230,CHAR_MISSING_COLUMN,b2c38c6,expected column b2c38
HN_4_230,CHAR_MISSING_COLUMN,b2c38c7,expected column b2c38
HN_4_230,CHAR_MISSING_COLUMN,b2c38c8,expected column b2c38
HN_4_230,CHAR_MISSING_COLUMN,b2c38c9,expected column b2c38
HN_5_1_157,CHAR_MISSING_COLUMN,b1c1c1,expected column b1c1
HN_5_1_157,CHAR_MISSING_COLUMN,b1c1c2,expected column b1c1
HN_5_1_157,CHAR_MISSING_COLUMN,b1c1c3,expected column b1c1
HN_5_1_157,CHAR_MISSING_COLUMN,b1c1c4,expected column b1c1
HN_5_1_157,CHAR_MISSING_COLUMN,b1c1c5,expected column b1c1
HN_5_4_253,CHAR_MISSING_COLUMN,b1c153c1,expected column b1c153
HN_5_4_253,CHAR_MISSING_COLUMN,b1c153c2,expected column b1c153
HN_5_4_253,CHAR_MISSING_COLUMN,b1c153c3,expected column b1c153
HN_5_4_253,CHAR_MISSING_COLUMN,b1c153c4,expected column b1c153
HN_5_4_253,CHAR_MISSING_COLUMN,b1c153c5,expected column b1c153
HN_5_4_253,CHAR_MISSING_COLUMN,b1c156c1,expected column b1c156
HN_5_4_253,CHAR_MISSING_COLUMN,b1c156c2,expected column b1c156
HN_5_4_253,CHAR_MISSING_COLUMN,b1c156c3,expected column b1c156
HN_5_4_253,CHAR_MISSING_COLUMN,b1c159c1,expected column b1c159
HN_5_4_253,CHAR_MISSING_COLUMN,b1c159c2,expected column b1c159
HN_5_4_253,CHAR_MISSING_COLUMN,b1c159c3,expected column b1c159
HN_5_4_253,CHAR_MISSING_COLUMN,b1c162c1,expected column b1c162
HN_5_4_253,CHAR_MISSING_COLUMN,b1c162c2,expected column b1c162
HN_5_4_253,CHAR_MISSING_COLUMN,b1c162c3,expected column b1c162
HN_5_4_253,CHAR_MISSING_COLUMN,b1c165c1,expected column b1c165
HN_5_4_253,CHAR_MISSING_COLUMN,b1c165c2,expected column b1c165
HN_5_4_253,CHAR_MISSING_COLUMN,b1c165c3,expected column b1c165
HN_5_4_253,CHAR_MISSING_COLUMN,b1c167c1,expected column b1c167
HN_5_4_253,CHAR_MISSING_COLUMN,b1c167c2,expected column b1c167
HN_5_4_253,CHAR_MISSING_COLUMN,b1c260c1,expected column b1c260
HN_5_4_253,CHAR_MISSING_COLUMN,b1c260c2,expected column b1c260
HN_5_4_253,CHAR_MISSING_COLUMN,b1c260c3,expected column b1c260
HN_5_4_253,CHAR_MISSING_COLUMN,b1c260c4,expected column b1c260
HN_5_4_253,CHAR_MISSING_COLUMN,b1c266c1,expected column b1c266
HN_5_4_253,CHAR_MISSING_COLUMN,b1c266c2,expected column b1c266
HN_5_4_253,CHAR_MISSING_COLUMN,b1c266c3,expected column b1c266
HN_5_4_253,CHAR_MISSING_COLUMN,b1c266c4,expected column b1c266
HN_5_4_253,CHAR_MISSING_COLUMN,b1c266c5,expected column b1c266
HN_5_4_253,CHAR_MISSING_COLUMN,b1c266c6,expected column b1c266
HN_5_4_253,CHAR_MISSING_COLUMN,b1c270c1,expected column b1c270
HN_5_4_253,CHAR_MISSING_COLUMN,b1c270c2,expected column b1c270
HN_5_4_253,CHAR_MISSING_COLUMN,b1c270c3,expected column b1c270
HN_5_4_253,CHAR_MISSING_COLUMN,b1c270c4,expected column b1c270
HN_5_4_253,CHAR_MISSING_COLUMN,b1c274c1,expected column b1c274
HN_5_4_253,CHAR_MISSING_COLUMN,b1c274c2,expected column b1c274
HN_5_4_253,CHAR_MISSING_COLUMN,b1c274c3,expected column b1c274
HN_5_4_253,CHAR_MISSING_COLUMN,b1c274c4,expected column b1c274
HN_5_4_253,CHAR_MISSING_COLUMN,b1c277c1,expected column b1c277
HN_5_4_253,CHAR_MISSING_COLUMN,b1c277c2,expected column b1c277
HN_5_4_253,CHAR_MISSING_COLUMN,b1c277c3,expected column b1c277
HN_5_4_253,CHAR_MISSING_COLUMN,b1c281c1,expected column b1c281
HN_5_4_253,CHAR_MISSING_COLUMN,b1c281c2,expected column b1c281
HN_5_4_253,CHAR_MISSING_COLUMN,b1c281c3,expected column b1c281
HN_5_4_253,CHAR_MISSING_COLUMN,b1c281c4,expected column b1c281
HN_5_4_253,CHAR_MISSING_COLUMN,b1c285c1,expected column b1c285
HN_5_4_253,CHAR_MISSING_COLUMN,b1c285c2,expected column b1c285
HN_5_4_253,CHAR_MISSING_COLUMN,b1c285c3,expected column b1c285
HN_5_4_253,CHAR_MISSING_COLUMN,b1c285c4,expected column b1c285
HN_5_4_253,CHAR_MISSING_COLUMN,b1c287c1,expected column b1c287
HN_5_4_253,CHAR_MISSING_COLUMN,b1c287c2,expected column b1c287
HN_5_4_253,CHAR_MISSING_COLUMN,b1c291c1,expected column b1c291
HN_5_4_253,CHAR_MISSING_COLUMN,b1c291c2,expected column b1c291
HN_5_4_253,CHAR_MISSING_COLUMN,b1c291c3,expected column b1c291
HN_5_4_253,CHAR_MISSING_COLUMN,b1c291c4,expected column b1c291
HN_5_4_253,CHAR_MISSING_COLUMN,b1c296c1,expected column b1c296
HN_5_4_253,CHAR_MISSING_COLUMN,b1c296c2,expected column b1c296
HN_5_4_253,CHAR_MISSING_COLUMN,b1c296c3,expected column b1c296
HN_5_4_253,CHAR_MISSING_COLUMN,b1c296c4,expected column b1c296
HN_5_4_253,CHAR_MISSING_COLUMN,b1c296c5,expected column b1c296
HN_5_4_253,CHAR_MISSING_COLUMN,b1c300c1,expected column b1c300
HN_5_4_253,CHAR_MISSING_COLUMN,b1c300c2,expected column b1c300
HN_5_4_253,CHAR_MISSING_COLUMN,b1c300c3,expected column b1c300
HN_5_4_253,CHAR_MISSING_COLUMN,b1c300c4,expected column b1c300
HN_5_4_253,CHAR_MISSING_COLUMN,b1c304c1,expected column b1c304
HN_5_4_253,CHAR_MISSING_COLUMN,b1c304c2,expected column b1c304
HN_5_4_253,CHAR_MISSING_COLUMN,b1c304c3,expected column b1c304
HN_5_4_253,CHAR_MISSING_COLUMN,b1c304c4,expected column b1c304
HN_5_4_253,CHAR_MISSING_COLUMN,b1c306c1,expected column b1c306
HN_5_4_253,CHAR_MISSING_COLUMN,b1c306c2,expected column b1c306
HN_5_4_253,CHAR_MISSING_COLUMN,b1c309c1,expected column b1c309
HN_5_4_253,CHAR_MISSING_COLUMN,b1c309c2,expected column b1c309
HN_5_4_253,CHAR_MISSING_COLUMN,b1c309c3,expected column b1c309
HN_5_4_253,CHAR_MISSING_COLUMN,b1c312c1,expected column b1c312
HN_5_4_253,CHAR_MISSING_COLUMN,b1c312c2,expected column b1c312
HN_5_4_253,CHAR_MISSING_COLUMN,b1c312c3,expected column b1c312
HN_5_4_253,CHAR_MISSING_COLUMN,b1c317c1,expected column b1c317
HN_5_4_253,CHAR_MISSING_COLUMN,b1c317c2,expected column b1c317
HN_5_4_253,CHAR_MISSING_COLUMN,b1c317c3,expected column b1c317
HN_5_4_253,CHAR_MISSING_COLUMN,b1c317c4,expected column b1c317
HN_5_4_253,CHAR_MISSING_COLUMN,b1c317c5,expected column b1c317
HN_5_4_253,CHAR_MISSING_COLUMN,b1c320c1,expected column b1c320
HN_5_4_253,CHAR_MISSING_COLUMN,b1c320c2,expected column b1c320
HN_5_4_253,CHAR_MISSING_COLUMN,b1c320c3,expected column b1c320
HN_5_4_253,CHAR_MISSING_COLUMN,b1c326c1,expected column b1c326
HN_5_4_253,CHAR_MISSING_COLUMN,b1c326c2,expected column b1c326
HN_5_4_253,CHAR_MISSING_COLUMN,b1c326c3,expected column b1c326
HN_5_4_253,CHAR_MISSING_COLUMN,b1c326c4,expected column b1c326
HN_5_4_253,CHAR_MISSING_COLUMN,b1c326c5,expected column b1c326
HN_5_4_253,CHAR_MISSING_COLUMN,b1c326c6,expected column b1c326
HN_5_4_253,CHAR_MISSING_COLUMN,b1c335c1,expected column b1c335
HN_5_4_253,CHAR_MISSING_COLUMN,b1c335c2,expected column b1c335
HN_5_4_253,CHAR_MISSING_COLUMN,b1c335c3,expected column b1c335
HN_5_4_253,CHAR_MISSING_COLUMN,b1c335c4,expected column b1c335
HN_5_4_253,CHAR_MISSING_COLUMN,b1c335c5,expected column b1c335
HN_5_4_253,CHAR_MISSING_COLUMN,b1c335c6,expected column b1c335
HN_5_4_253,CHAR_MISSING_COLUMN,b1c335c7,expected column b1c335
HN_5_4_253,CHAR_MISSING_COLUMN,b1c335c9,expected column b1c335
HN_5_4_253,CHAR_MISSING_COLUMN,b1c339c10,expected column b1c339
HN_5_4_253,CHAR_MISSING_COLUMN,b1c339c11,expected column b1c339
HN_5_4_253,CHAR_MISSING_COLUMN,b1c339c12,expected column b1c339
HN_5_4_253,CHAR_MISSING_COLUMN,b1c339c13,expected column b1c339
HN_5_4_253,CHAR_MISSING_COLUMN,b1c342c14,expected column b1c342
HN_5_4_253,CHAR_MISSING_COLUMN,b1c342c15,expected column b1c342
HN_5_4_253,CHAR_MISSING_COLUMN,b1c342c16,expected column b1c342
HN_5_4_253,CHAR_MISSING_COLUMN,b1c344c17,expected column b1c344
HN_5_4_253,CHAR_MISSING_COLUMN,b1c344c18,expected column b1c344
HN_5_4_253,CHAR_MISSING_COLUMN,b1c347c19,expected column b1c347
HN_5_4_253,CHAR_MISSING_COLUMN,b1c347c20,expected column b1c347
HN_5_4_253,CHAR_MISSING_COLUMN,b1c347c21,expected column b1c347
HN_5_4_253,CHAR_MISSING_COLUMN,b1c350c22,expected column b1c350
HN_5_4_253,CHAR_MISSING_COLUMN,b1c350c23,expected column b1c350
HN_5_4_253,CHAR_MISSING_COLUMN,b1c350c24,expected column b1c350
HN_5_4_253,CHAR_MISSING_COLUMN,b1c354c25,expected column b1c354
HN_5_4_253,CHAR_MISSING_COLUMN,b1c354c26,expected column b1c354
HN_5_4_253,CHAR_MISSING_COLUMN,b1c354c27,expected column b1c354
HN_5_4_253,CHAR_MISSING_COLUMN,b1c354c28,expected column b1c354
HN_5_4_253,CHAR_MISSING_COLUMN,b1c359c29,expected column b1c359
HN_5_4_253,CHAR_MISSING_COLUMN,b1c359c30,expected column b1c359
